genres,homepage,id,keywords,overview,popularity,revenue,title,vote_average,vote_count,photo_id
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"[{""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 6333, ""name"": ""wizardry""}, {""id"": 10164, ""name"": ""apparition""}, {""id"": 10791, ""name"": ""teenage crush""}, {""id"": 12564, ""name"": ""werewolf""}]","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,933959197,Harry Potter and the Half-Blood Prince,7.4,5293,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Half_Blood_Prince.jpg?alt=media&token=a71c5ae5-2c1f-4f83-910f-3efc2dc2a4dd
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]",http://www.harrypotterorderofthephoenix.com/,675,"[{""id"": 530, ""name"": ""prophecy""}, {""id"": 616, ""name"": ""witch""}, {""id"": 1014, ""name"": ""loss of lover""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 5147, ""name"": ""sorcery""}, {""id"": 221387, ""name"": ""occultism""}]","Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",78.144395,938212738,Harry Potter and the Order of the Phoenix,7.4,5494,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/The_order_of_phoenix.jpg?alt=media&token=bb1d7361-46a5-44c6-9aa4-ced4946c3cd9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/,674,"[{""id"": 2343, ""name"": ""magic""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 6271, ""name"": ""boarding school""}, {""id"": 10629, ""name"": ""vision""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 188178, ""name"": ""teenage hero""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",101.250416,895921036,Harry Potter and the Goblet of Fire,7.5,5608,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Goblet_of_fire.jpg?alt=media&token=eb12c712-68ed-4924-bfad-83ecbbb2f010
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",https://www.imdb.com/title/tt0304141/,673,"[{""id"": 334, ""name"": ""flying""}, {""id"": 2052, ""name"": ""traitor""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 3904, ""name"": ""griffon""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 12392, ""name"": ""best friend""}, {""id"": 12564, ""name"": ""werewolf""}, {""id"": 33783, ""name"": ""dark""}, {""id"": 33784, ""name"": ""muggle""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]","Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",79.679601,789804554,Harry Potter and the Prisoner of Azkaban,7.7,5877,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Prisoner_of_Azkaban.jpg?alt=media&token=61b841bc-f176-4a87-8a12-97fbdd3b3d46
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,671,"[{""id"": 616, ""name"": ""witch""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3335, ""name"": ""halloween""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4456, ""name"": ""frog""}, {""id"": 170362, ""name"": ""fantasy world""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",109.984351,976475550,Harry Potter and the Philosopher's Stone,7.5,7006,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Philosophers_Stone.jpg?alt=media&token=454e2905-4126-4053-9d1f-42b962b276e7
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",https://www.imdb.com/title/tt0295297/,672,"[{""id"": 391, ""name"": ""flying car""}, {""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 3891, ""name"": ""giant snake""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]","Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",132.397737,876688482,Harry Potter and the Chamber of Secrets,7.4,5815,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Chamber_of_Secret.jpg?alt=media&token=97ac5534-e535-409e-8676-19bcdd406821
"[{""id"": 27, ""name"": ""Horror""}]",http://www.mamamovie.com/,132232,"[{""id"": 185408, ""name"": ""supernatural horror""}]","Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",47.455148,146497771,Mama,6,1401,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Mama.jpg?alt=media&token=c4cb806b-1188-4440-bdfb-d194060e1b7c
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://thedarkknight.warnerbros.com/dvdsite/,155,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 3151, ""name"": ""scarecrow""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9537, ""name"": ""joker""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10044, ""name"": ""tragic hero""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 18023, ""name"": ""criminal mastermind""}, {""id"": 33518, ""name"": ""district attorney""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 163074, ""name"": ""super villain""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 230775, ""name"": ""batman""}]","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,1004558444,The Dark Knight,8.2,12002,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/The_Dark_Knight.jpg?alt=media&token=a712a003-65f0-4f25-9811-c584022a772e
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://thegreenmile.warnerbros.com/,497,"[{""id"": 531, ""name"": ""southern usa""}, {""id"": 577, ""name"": ""black people""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2499, ""name"": ""heal""}, {""id"": 2501, ""name"": ""death row""}, {""id"": 2881, ""name"": ""jail guard""}, {""id"": 5571, ""name"": ""great depression""}, {""id"": 9774, ""name"": ""prison guard""}, {""id"": 11263, ""name"": ""electric chair""}, {""id"": 156597, ""name"": ""magic realism""}, {""id"": 167696, ""name"": ""healing""}, {""id"": 180162, ""name"": ""death row inmate""}, {""id"": 214548, ""name"": ""1930s""}]","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",103.698022,284600000,The Green Mile,8.2,4048,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/the_green_mile.jpg?alt=media&token=fc9bec54-625e-4fde-8ddc-ce5484e662a0
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",https://www.imdb.com/title/tt0109830/,13,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 795, ""name"": ""running""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10624, ""name"": ""bully""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 162365, ""name"": ""military""}, {""id"": 162934, ""name"": ""hugging""}, {""id"": 166980, ""name"": ""shrimping""}, {""id"": 180204, ""name"": ""wounded soldier""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 208143, ""name"": ""park bench""}, {""id"": 215492, ""name"": ""amputee""}]","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,677945399,Forrest Gump,8.2,7927,https://firebasestorage.googleapis.com/v0/b/treecom-a433e.appspot.com/o/Forrest_gump.jpg?alt=media&token=d699ddf7-18aa-4d60-a22d-e2b6ea9f494c
